Field,Title,Company,Posted At,Location,Link
Technology & Engineering,Gen AI Engineer,Cognizant,NA,"Bangalore, Karnataka, India / Chennai, Tamil Nadu, India",https://careers.cognizant.com/global-en/jobs/00062815011/gen-ai-engineer/
Technology & Engineering,Gen AI Engineer,Cognizant,NA,"Hyderabad, Telangana, India",https://careers.cognizant.com/global-en/jobs/00061675821/gen-ai-engineer/
Technology & Engineering,Gen AI Engineer,Cognizant,NA,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/global-en/jobs/00062712911/gen-ai-engineer/
Technology & Engineering,Gen AI Engineer,Cognizant,NA,"Kolkata, West Bengal, India",https://careers.cognizant.com/global-en/jobs/00061984392/gen-ai-engineer/
Technology & Engineering,Gen AI,Cognizant,NA,"BANGALORE, Karnataka, India",https://careers.cognizant.com/global-en/jobs/00063346551/gen-ai/
Technology & Engineering,Data Scientist and ML Engineer: Cognizant AI Agent HUB,Cognizant,NA,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/global-en/jobs/00062783517/data-scientist-and-ml-engineer-cognizant-ai-agent-hub/
Technology & Engineering,Gen AI Engineer,Cognizant,NA,"BANGALORE, Karnataka, India",https://careers.cognizant.com/global-en/jobs/00062478501/gen-ai-engineer/
Technology & Engineering,Gen AI Engineer,Cognizant,NA,"Kochi, Kerala, India",https://careers.cognizant.com/global-en/jobs/00061551341/gen-ai-engineer/
Technology & Engineering,Gen AI Engineer,Cognizant,NA,"KOLKATA, West Bengal, India",https://careers.cognizant.com/global-en/jobs/00061650881/gen-ai-engineer/
Technology & Engineering,Full Stack AI Architect @ Cognizant,Cognizant,NA,"CHENNAI, Tamil Nadu, India",https://careers.cognizant.com/global-en/jobs/00062783518/full-stack-ai-architect-cognizant/
Technology & Engineering,Security Testing,Cognizant,NA,"KOLKATA, West Bengal, India",https://careers.cognizant.com/global-en/jobs/00061261071/security-testing/
Technology & Engineering,Cloud HCM (Technical / Functional)  - Returnship Program,Cognizant,NA,"Bangalore, Karnataka, India",https://careers.cognizant.com/global-en/jobs/00063044011/cloud-hcm-technical-functional-returnship-program/
Technology & Engineering,Sr. Associate - Projects,Cognizant,NA,"Hyderabad, Telangana, India",https://careers.cognizant.com/global-en/jobs/00059757331/sr-associate-projects/
Technology & Engineering,Java developer,Cognizant,NA,"Kochi, Kerala, India",https://careers.cognizant.com/global-en/jobs/00062307771/java-developer/
Technology & Engineering,Sr Java Developer,Cognizant,NA,"Chennai, Tamil Nadu, India / Kochi, Kerala, India / Hyderabad, Telangana, India",https://careers.cognizant.com/global-en/jobs/00062623532/sr-java-developer/
