,Field,Title,Company,Posted At,Location,Link
23,Engineer - Hardware,ASIC Engineering Technical Leader,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Engineering-Technical-Leader/1433341
24,Engineer - Software,"Software Engineer - DevOps(On-Prem) - Jenkins Pipelines, Kubernetes and Automation with Python (8+ Years)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-DevOps-On-Prem-Jenkins-Pipelines-Kubernetes-and-Automation-with-Python-8-Years/1433394
25,Engineer - Software,Software Engineering Technical Leader - Golang/ Java/ C++ / AWS| Cloud / Docker - Bangalore - 12 to 16 Years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineering-Technical-Leader-Golang-Java-C-AWS-Cloud-Docker-Bangalore-12-to-16-Years/1423407
26,Human Resources,People Consultant ( HRBP),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/People-Consultant-HRBP/1431157
27,Engineer - Software,Software Technical Leader - Support - Golang/ Java/ C++ / AWS| Cloud / Docker - Bangalore - 12 to 16 Years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Technical-Leader-Support-Golang-Java-C-AWS-Cloud-Docker-Bangalore-12-to-16-Years/1431245
28,Security,Software Engineer :: QA Automation || Security/AWS || Exp - 8+ Years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-QA-Automation-Security-AWS-Exp-8-Years/1432490
29,Business Strategy and Operations,Engineering Product Manager - Fullstack Developer (Python mandate),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Engineering-Product-Manager-Fullstack-Developer-Python-mandate/1432912
30,Engineer - Hardware,ASIC Engineering Technical Leader,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Engineering-Technical-Leader/1433341
31,Engineer - Software,Security Data Scientist (Threat intelligence & Python| 7 to 11 Years| Bangalore),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Security-Data-Scientist-Threat-intelligence-Python-7-to-11-Years-Bangalore/1433421
32,Engineer - Software,Software Engineer - AI/ML + Golang/Python + Kubernetes,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-AI-ML-Golang-Python-Kubernetes/1433789
33,Engineer - Software,Software Engineering Technical Leader: AI/ML Platform Experience ( Golang/Python + DSA + Kubernetes ),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineering-Technical-Leader-AI-ML-Platform-Experience-Golang-Python-DSA-Kubernetes/1434361
34,Engineer - Software,"Software Engineer - AI Lead (AI Innovation, AI Framework, AI/ML Tech)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-AI-Lead-AI-Innovation-AI-Framework-AI-ML-Tech/1435209
35,Finance,"Product Architect - AI Business Architect (LLM, GPT, RAG, NLP, BERT, Data analytics) - Finance",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Product-Architect-AI-Business-Architect-LLM-GPT-RAG-NLP-BERT-Data-analytics-Finance/1435592
36,Engineer - Software,Software Engineer - Golang | Data Structures & Algorithms | AWS or Cloud | Docker - Bangalore - 5 to 8 Years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Golang-Data-Structures-Algorithms-AWS-or-Cloud-Docker-Bangalore-5-to-8-Years/1435626
37,Engineer - Software,Senior Software Engineer - Golang | Data Structures & Algorithms | AWS or Cloud | Docker - Bangalore - 8 to 13 Years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-Golang-Data-Structures-Algorithms-AWS-or-Cloud-Docker-Bangalore-8-to-13-Years/1435721
38,Engineer - Network,Software Engineer - AI network Infra/assist | 8+ yrs,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-AI-network-Infra-assist-8-yrs/1436257
39,Human Resources,Senior Talent Advisor,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Talent-Advisor/1437468
40,Engineer - Software,Software Engineer - FullStack |React| Java | 1 - 3 years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-FullStack-React-Java-1-3-years/1438127
41,Engineer - Software,Software Engineer - FullStack| GoLang| Java | 1-3 years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-FullStack-GoLang-Java-1-3-years/1438133
42,Engineer - Software,Software QA Engineer - Python Automation / Golang | Cloud Security | Cloud Native | Networking | Quality Testing | Exp - 8-12 years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-QA-Engineer-Python-Automation-Golang-Cloud-Security-Cloud-Native-Networking-Quality-Testing-Exp-8-12-years/1438239
43,Engineer - Software,Software QA Engineer - Python Automation / Golang | Cloud Security | Cloud Native | Networking | Quality Testing | Exp - 4-8 years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-QA-Engineer-Python-Automation-Golang-Cloud-Security-Cloud-Native-Networking-Quality-Testing-Exp-4-8-years/1438240
44,Sales - Product,"Account Manager - Commercial Sales, Bangalore (India)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Account-Manager-Commercial-Sales-Bangalore-India/1438294
45,Engineer - Hardware,"ASIC Engineer | 5+ years | (Floor planning , Place and route , Formal verification , Timing closure , Perl / Python / Scripting )",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Engineer-5-years-Floor-planning-Place-and-route-Formal-verification-Timing-closure-Perl-Python-Scripting/1431533
46,Engineer - Hardware,ASIC Engineer,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Engineer/1431538
47,Engineer - Software,Software Test Engineer - L2/L3 Protocol (5-8y exp),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Test-Engineer-L2-L3-Protocol-5-8y-exp/1433416
48,Engineer - Software,"Data Scientist - Threat intelligence, Security Domain, Python - Bangalore - 7 to 11 Years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Data-Scientist-Threat-intelligence-Security-Domain-Python-Bangalore-7-to-11-Years/1433421
49,Security,"Principal Engineer | Java, Management Plane/Console, NMS,  Kubernetes, SaaS, Network Security | Bangalore, 12+ years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Principal-Engineer-Java-Management-Plane-Console-NMS-Kubernetes-SaaS-Network-Security-Bangalore-12-years/1433508
50,Engineer - Software,Software Engineer - AI/ML + Golang/Python + Kubernetes,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-AI-ML-Golang-Python-Kubernetes/1433789
51,Engineer - Software,"Software Development Engineer in Test (5+ Years in Golang, Python, Automation, Networking)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Development-Engineer-in-Test-5-Years-in-Golang-Python-Automation-Networking/1434175
52,Engineer - Software,"Software Development Engineer in Test (7+ Years in Golang, Python, Automation, Networking)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Development-Engineer-in-Test-7-Years-in-Golang-Python-Automation-Networking/1434247
53,Engineer - Software,Software Engineering Technical Leader: AI/ML Platform Experience ( Golang/Python + DSA + Kubernetes ),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineering-Technical-Leader-AI-ML-Platform-Experience-Golang-Python-DSA-Kubernetes/1434361
54,Engineer - Software,QA Engineer - Playwright & TypeScript (5-7y exp),Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/QA-Engineer-Playwright-TypeScript-5-7y-exp/1435018
55,Engineer - Software,Software QA Engineer- L2/L3 Protocol Testing | Python Automation | Networking | Routing Switching | Exp 8-12 years | 1435123,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-QA-Engineer-L2-L3-Protocol-Testing-Python-Automation-Networking-Routing-Switching-Exp-8-12-years-1435123/1435123
56,Engineer - Hardware,ASIC Design Engineer - Design & Timing Constraints | 8+ years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Design-Engineer-Design-Timing-Constraints-8-years/1435199
57,Engineer - Software,"Software Engineer - AI Lead (AI Innovation, AI Framework, AI/ML Tech)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-AI-Lead-AI-Innovation-AI-Framework-AI-ML-Tech/1435209
58,Engineer - Software,"Software Development Engineer | L2/L3 Protocols, VxLAN , C/C++ , Python, Microcode | 8-12 years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Development-Engineer-L2-L3-Protocols-VxLAN-C-C-Python-Microcode-8-12-years/1435259
59,Engineer - Software,"Software Technical Leader | L2/L3 Protocols, Vx LAN, Microcode, C/C++, Python | 12-15 years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Technical-Leader-L2-L3-Protocols-Vx-LAN-Microcode-C-C-Python-12-15-years/1435260
60,Engineer - Hardware,ASIC Design Verification Engineer || UVM/System Verilog || Test benches || Exp 4 to 7 years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Design-Verification-Engineer-UVM-System-Verilog-Test-benches-Exp-4-to-7-years/1435290
61,Engineer - Hardware,ASIC Design Engineer :: RTL Design | Verilog or System Verilog | Exp - 7+ Years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Design-Engineer-RTL-Design-Verilog-or-System-Verilog-Exp-7-Years/1435294
62,Engineer - Software,"Software Engineer (Backend Development- Java, Python | MySQL, PostgreSQL, Mongo DB | Network Management & Analytics | 7-12 Years)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Backend-Development-Java-Python-MySQL-PostgreSQL-Mongo-DB-Network-Management-Analytics-7-12-Years/1435619
63,Quality Assurance,"Senior Software QA Engineer(Server, Datacenter, networking,5-10 yrs)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-QA-Engineer-Server-Datacenter-networking-5-10-yrs/1435767
