,Field,Title,Categorty & Location,Link
36,Data & Analytics,Big Data Engineer-Google,"Entry LevelQuezon City, PH",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8235&source=WEB_Search_INDIA
37,Infrastructure & Technology,Infrastructure Specialist-AWS DevOps,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16771&source=WEB_Search_INDIA
38,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13708&source=WEB_Search_INDIA
39,Consulting,Technical Consultant-Security Intel & Operations Consulting Svcs,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11395&source=WEB_Search_INDIA
40,Infrastructure & Technology,QA/Test Developer - HDD/SSD Qualification,"Entry LevelEl Salto, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17082&source=WEB_Search_INDIA
41,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6994&source=WEB_Search_INDIA
42,Software Engineering,Infrastructure Specialist-AWS DevOps,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16767&source=WEB_Search_INDIA
43,Consulting,Senior Managing Threat Management Consultant,"ProfessionalBudapest, HU",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11933&source=WEB_Search_INDIA
44,Data & Analytics,Senior Python Developer,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15791&source=WEB_Search_INDIA
45,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8214&source=WEB_Search_INDIA
46,Software Engineering,Experience Fullstack Developer - Japanese Bilingual,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14795&source=WEB_Search_INDIA
47,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13715&source=WEB_Search_INDIA
48,Consulting,Technical Consultant-Security Intel & Operations Consulting Svcs,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11393&source=WEB_Search_INDIA
49,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8226&source=WEB_Search_INDIA
50,Infrastructure & Technology,Python cloud developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8045&source=WEB_Search_INDIA
51,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17649&source=WEB_Search_INDIA
52,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6785&source=WEB_Search_INDIA
53,Infrastructure & Technology,Linuz Softtware Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11671&source=WEB_Search_INDIA
54,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13625&source=WEB_Search_INDIA
55,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8216&source=WEB_Search_INDIA
56,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKolkata, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11644&source=WEB_Search_INDIA
57,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6994&source=WEB_Search_INDIA
